Date,betten_ges,betten_belegt,faelle_covid_aktuell,faelle_covid_aktuell_beatmet
2020-04-24,32493,19764,2677,1952
2020-04-25,32385,19625,2568,1871
2020-04-26,32303,19122,2553,1853
2020-04-27,32331,19313,2496,1791
2020-04-28,32541,19856,2419,1726
2020-04-29,32775,20156,2337,1674
2020-04-30,32788,20104,2263,1581
2020-05-01,32970,20169,2145,1548
2020-05-02,32936,19514,2074,1490
2020-05-03,32924,19668,2040,1457
2020-05-04,32794,19582,1997,1400
2020-05-05,32846,20215,1923,1336
2020-05-06,32954,20633,1841,1263
2020-05-07,32879,20581,1782,1214
2020-05-08,32703,20539,1674,1145
2020-05-09,32715,20333,1607,1103
2020-05-10,32570,19749,1617,1092
2020-05-11,32552,19921,1600,1069
2020-05-12,33236,20824,1508,1010
2020-05-13,32832,20748,1393,950
2020-05-14,32910,20665,1326,879
2020-05-15,32924,21023,1242,825
2020-05-16,32741,20637,1186,806
2020-05-17,32769,20073,1136,773
2020-05-18,32715,20053,1134,741
2020-05-19,32560,20689,1096,704
2020-05-20,32765,20944,1029,659
2020-05-21,32790,20938,1008,633
2020-05-22,32789,20368,984,612
2020-05-23,32969,20564,941,594
2020-05-24,32787,20072,910,577
2020-05-25,32938,20164,896,569
2020-05-26,32856,20725,824,523
2020-05-27,32776,21028,760,476
2020-05-28,32730,21104,733,446
2020-05-29,32665,21026,734,425
2020-05-30,32683,20906,723,424
2020-05-31,32615,20236,705,407
2020-06-01,32624,20136,704,395
2020-06-02,32597,20229,699,385
2020-06-03,32655,20985,640,363
2020-06-04,32626,21310,606,342
2020-06-05,32592,21379,593,339
2020-06-06,32574,21099,566,334
2020-06-07,32544,20477,572,330
2020-06-08,32550,20346,549,318
2020-06-09,32641,21207,524,316
2020-06-10,32691,21386,490,287
2020-06-11,32664,21321,454,277
2020-06-12,32606,20830,455,275
2020-06-13,32531,20774,444,261
2020-06-14,32496,20370,440,263
2020-06-15,32611,20457,436,259
2020-06-16,32650,21176,423,256
2020-06-17,32665,21495,410,250
2020-06-18,32769,21636,399,239
2020-06-19,32754,21714,377,226
2020-06-20,32696,21384,363,221
2020-06-21,32690,20785,354,205
2020-06-22,32878,20825,368,211
2020-06-23,32872,21475,362,201
2020-06-24,32930,21557,356,192
2020-06-25,32895,21539,361,194
2020-06-26,32816,21677,363,197
2020-06-27,32815,21487,345,187
2020-06-28,32783,20987,338,190
2020-06-29,32875,20924,332,183
2020-06-30,32924,21499,335,172
2020-07-01,33022,21902,328,168
2020-07-02,33019,21997,327,160
2020-07-03,32528,21668,320,161
2020-07-04,32824,21370,323,159
2020-07-05,32768,20791,301,150
2020-07-06,32937,20903,312,148
2020-07-07,33010,21458,297,144
2020-07-08,33000,21667,291,141
2020-07-09,32926,21731,278,135
2020-07-10,32886,21816,279,134
2020-07-11,32852,21530,254,129
2020-07-12,32677,20899,255,127
2020-07-13,32755,20753,264,130
2020-07-14,32821,21513,262,125
2020-07-15,32886,21948,247,120
2020-07-16,32915,21968,254,121
2020-07-17,32967,22013,249,118
2020-07-18,32834,21602,247,116
2020-07-19,32761,21084,254,120
2020-07-20,32961,21251,248,122
2020-07-21,33037,21683,255,123
2020-07-22,33176,21939,251,128
2020-07-23,33351,22018,240,128
2020-07-24,33356,22155,240,120
2020-07-25,33280,21858,252,129
2020-07-26,33278,21326,272,134
2020-07-27,33337,21247,263,135
2020-07-28,33450,21911,262,128
2020-07-29,33621,22252,266,132
2020-07-30,33684,22118,269,134
2020-07-31,33660,22152,267,126
2020-08-01,33603,21869,262,123
2020-08-02,33557,21381,274,131
2020-08-03,33622,21400,273,131
2020-08-04,31916,21968,266,135
2020-08-05,31777,22212,246,142
2020-08-06,31728,22183,241,132
2020-08-07,31688,22222,231,135
2020-08-08,31565,21968,236,136
2020-08-09,31535,21505,242,137
2020-08-10,31438,21514,234,133
2020-08-11,31449,22196,238,140
2020-08-12,31543,22380,226,139
2020-08-13,31458,22460,229,141
2020-08-14,31511,22591,234,137
2020-08-15,31416,22258,232,137
2020-08-16,31394,21741,229,137
2020-08-17,31501,21783,231,135
2020-08-18,31590,22340,223,136
2020-08-19,31622,22494,232,143
2020-08-20,31714,22673,233,138
2020-08-21,31706,22647,240,147
2020-08-22,31543,22174,234,140
2020-08-23,31505,21640,247,138
2020-08-24,31583,21488,247,131
2020-08-25,31696,22186,227,133
2020-08-26,31702,22369,229,133
2020-08-27,31666,22256,243,140
