Date,betten_ges,betten_belegt,faelle_covid_aktuell,faelle_covid_aktuell_beatmet
2020-04-24,3729,2201,456,324
2020-04-25,3703,2172,428,309
2020-04-26,3722,2104,413,302
2020-04-27,3712,2104,401,292
2020-04-28,3731,2178,402,288
2020-04-29,3761,2190,407,293
2020-04-30,3754,2190,429,277
2020-05-01,3749,2162,393,272
2020-05-02,3742,2092,360,250
2020-05-03,3723,2158,364,252
2020-05-04,3667,2164,358,245
2020-05-05,3569,2146,342,217
2020-05-06,3587,2169,293,193
2020-05-07,3634,2181,283,190
2020-05-08,3630,2181,257,168
2020-05-09,3636,2157,237,160
2020-05-10,3644,2097,250,154
2020-05-11,3631,2083,257,153
2020-05-12,3636,2162,228,141
2020-05-13,3615,2203,213,134
2020-05-14,3620,2201,211,119
2020-05-15,3620,2252,208,117
2020-05-16,3601,2185,192,118
2020-05-17,3653,2185,186,113
2020-05-18,3585,2113,188,108
2020-05-19,3548,2183,181,116
2020-05-20,3566,2223,167,100
2020-05-21,3548,2166,164,96
2020-05-22,3561,2155,164,93
2020-05-23,3542,2121,151,83
2020-05-24,3555,2061,148,76
2020-05-25,3558,2067,140,75
2020-05-26,3562,2159,130,71
2020-05-27,3546,2168,120,73
2020-05-28,3527,2194,116,62
2020-05-29,3528,2191,119,60
2020-05-30,3584,2192,120,65
2020-05-31,3601,2114,113,56
2020-06-01,3596,2103,114,56
2020-06-02,3586,2138,108,50
2020-06-03,3563,2185,89,46
2020-06-04,3561,2184,85,40
2020-06-05,3574,2203,92,42
2020-06-06,3580,2184,87,41
2020-06-07,3543,2114,88,41
2020-06-08,3549,2113,87,40
2020-06-09,3551,2188,84,36
2020-06-10,3531,2125,81,35
2020-06-11,3530,2172,72,34
2020-06-12,3527,2095,76,35
2020-06-13,3518,2106,75,32
2020-06-14,3536,2101,79,34
2020-06-15,3535,2123,69,33
2020-06-16,3558,2176,74,34
2020-06-17,3565,2216,70,31
2020-06-18,3567,2234,65,28
2020-06-19,3558,2213,60,28
2020-06-20,3580,2225,54,28
2020-06-21,3545,2151,61,28
2020-06-22,3570,2148,63,29
2020-06-23,3572,2179,61,29
2020-06-24,3582,2239,60,26
2020-06-25,3563,2214,58,25
2020-06-26,3585,2276,64,24
2020-06-27,3585,2249,62,20
2020-06-28,3596,2221,59,21
