Date,betten_ges,betten_belegt,faelle_covid_aktuell,faelle_covid_aktuell_beatmet
2020-04-24,1030,585,63,50
2020-04-25,1031,579,60,48
2020-04-26,1018,560,59,46
2020-04-27,1048,594,59,43
2020-04-28,1050,623,63,42
2020-04-29,1055,616,55,43
2020-04-30,1057,616,54,40
2020-05-01,1037,604,53,35
2020-05-02,1038,596,53,35
2020-05-03,1041,579,51,34
2020-05-04,1048,574,47,32
2020-05-05,1058,595,49,31
2020-05-06,1037,616,43,31
2020-05-07,1041,611,42,31
2020-05-08,1042,624,41,28
2020-05-09,1026,616,40,26
2020-05-10,1041,605,39,26
2020-05-11,1035,607,40,24
2020-05-12,1033,616,38,25
2020-05-13,1032,640,34,21
2020-05-14,1035,619,34,20
2020-05-15,1032,633,34,19
2020-05-16,992,630,36,23
2020-05-17,1013,621,33,22
2020-05-18,1006,614,34,20
2020-05-19,999,628,35,16
2020-05-20,1002,612,34,15
2020-05-21,992,606,33,13
2020-05-22,1007,585,33,13
2020-05-23,1008,567,31,13
2020-05-24,1009,554,29,12
2020-05-25,1006,576,29,12
2020-05-26,1005,604,25,12
2020-05-27,997,598,22,11
2020-05-28,1011,609,20,9
2020-05-29,986,602,20,6
2020-05-30,983,595,17,6
2020-05-31,989,584,20,7
2020-06-01,995,569,20,6
2020-06-02,989,558,19,6
2020-06-03,989,609,20,6
2020-06-04,988,621,15,6
2020-06-05,990,636,15,6
2020-06-06,989,624,15,6
2020-06-07,989,589,13,6
2020-06-08,998,560,11,6
2020-06-09,991,621,13,6
2020-06-10,981,618,12,5
2020-06-11,977,611,11,5
2020-06-12,978,622,13,5
2020-06-13,978,617,11,5
2020-06-14,984,593,10,5
2020-06-15,986,596,9,3
2020-06-16,986,613,6,2
2020-06-17,982,636,5,1
2020-06-18,986,640,5,1
2020-06-19,981,632,4,1
2020-06-20,976,585,5,1
2020-06-21,983,573,4,1
2020-06-22,986,560,5,2
2020-06-23,980,607,6,2
2020-06-24,991,584,5,2
2020-06-25,987,611,5,2
2020-06-26,1003,636,5,2
2020-06-27,986,601,6,3
2020-06-28,991,589,6,3
2020-06-29,993,550,5,2
2020-06-30,990,616,4,1
2020-07-01,1001,616,4,1
2020-07-02,997,629,4,1
2020-07-03,986,621,3,1
2020-07-04,986,619,3,1
2020-07-05,989,584,3,1
2020-07-06,986,587,3,1
2020-07-07,989,602,5,1
2020-07-08,990,604,5,1
2020-07-09,992,630,5,1
2020-07-10,989,629,5,1
2020-07-11,985,601,4,1
2020-07-12,990,589,4,1
2020-07-13,989,598,4,1
2020-07-14,988,635,4,1
2020-07-15,993,642,4,1
2020-07-16,989,647,4,1
2020-07-17,988,636,4,1
2020-07-18,990,601,4,1
2020-07-19,990,583,2,1
2020-07-20,1004,615,2,1
2020-07-21,1036,671,2,1
2020-07-22,1028,653,2,1
2020-07-23,1031,641,2,1
2020-07-24,1028,645,2,1
2020-07-25,1028,637,4,1
2020-07-26,1026,621,4,1
2020-07-27,1028,601,5,1
2020-07-28,1034,664,4,0
2020-07-29,1037,670,3,0
2020-07-30,1039,665,3,0
2020-07-31,1054,674,3,0
2020-08-01,1043,647,3,0
2020-08-02,1044,615,3,0
2020-08-03,1051,622,4,0
2020-08-04,971,646,6,0
2020-08-05,920,621,6,0
2020-08-06,919,620,6,0
2020-08-07,917,628,5,0
2020-08-08,916,612,5,0
2020-08-09,914,595,3,0
2020-08-10,922,615,3,0
2020-08-11,912,629,3,0
2020-08-12,917,633,3,1
2020-08-13,915,633,3,1
2020-08-14,899,641,3,1
2020-08-15,864,609,3,1
2020-08-16,862,584,3,1
2020-08-17,858,569,3,0
2020-08-18,875,580,3,0
2020-08-19,876,590,3,0
2020-08-20,906,631,3,0
2020-08-21,906,646,4,1
2020-08-22,906,638,3,1
2020-08-23,903,593,1,1
2020-08-24,902,595,1,1
2020-08-25,910,622,1,1
2020-08-26,912,653,2,1
2020-08-27,910,626,3,2
2020-08-28,910,615,3,2
2020-08-29,909,606,4,1
2020-08-30,907,601,4,1
2020-08-31,909,590,4,1
2020-09-01,906,635,3,1
2020-09-02,911,642,3,1
2020-09-03,911,643,3,1
2020-09-04,909,640,3,1
2020-09-05,909,641,3,1
2020-09-06,909,632,3,1
2020-09-07,910,624,3,1
2020-09-08,917,646,4,1
2020-09-09,917,627,3,1
2020-09-10,917,659,3,1
2020-09-11,915,663,2,1
2020-09-12,915,639,3,1
2020-09-13,915,620,3,1
2020-09-14,911,606,5,1
2020-09-15,920,633,4,1
2020-09-16,920,638,4,1
2020-09-17,920,663,3,1
2020-09-18,920,649,5,1
2020-09-19,920,618,2,0
2020-09-20,917,616,2,0
2020-09-21,917,604,3,1
2020-09-22,916,645,4,2
2020-09-23,916,657,5,2
2020-09-24,916,637,5,2
2020-09-25,916,628,4,2
2020-09-26,917,629,5,2
2020-09-27,915,617,9,2
2020-09-28,917,617,10,2
2020-09-29,923,657,7,2
2020-09-30,927,646,6,2
2020-10-01,927,634,7,2
2020-10-02,927,644,8,2
2020-10-03,917,626,8,2
2020-10-04,915,602,8,2
2020-10-05,922,593,8,2
2020-10-06,917,625,9,2
2020-10-07,912,644,10,2
2020-10-08,912,658,10,2
2020-10-09,912,634,8,2
2020-10-10,912,615,9,2
2020-10-11,912,617,11,2
2020-10-12,903,615,10,2
2020-10-13,908,646,9,2
2020-10-14,908,641,13,3
2020-10-15,908,636,13,3
2020-10-16,908,625,14,4
2020-10-17,906,638,16,3
2020-10-18,906,615,16,3
2020-10-19,892,601,19,2
2020-10-20,897,654,17,4
2020-10-21,898,644,19,4
2020-10-22,901,627,22,4
2020-10-23,901,644,26,4
2020-10-24,896,615,23,5
2020-10-25,896,568,27,5
2020-10-26,902,579,28,6
2020-10-27,901,604,27,6
2020-10-28,905,620,31,6
2020-10-29,939,625,32,6
2020-10-30,939,623,29,8
2020-10-31,935,585,24,10
2020-11-01,935,595,24,11
2020-11-02,933,596,29,12
2020-11-03,935,608,33,11
2020-11-04,934,639,44,16
2020-11-05,925,658,48,16
2020-11-06,927,646,52,17
2020-11-07,928,627,54,15
2020-11-08,920,599,58,15
2020-11-09,921,600,60,16
2020-11-10,920,624,54,16
2020-11-11,922,635,53,16
2020-11-12,960,649,55,14
2020-11-13,944,644,69,16
2020-11-14,949,635,69,19
2020-11-15,945,623,69,17
2020-11-16,943,626,74,20
2020-11-17,935,654,84,25
2020-11-18,937,668,88,28
2020-11-19,932,667,87,27
2020-11-20,924,669,86,25
2020-11-21,921,654,91,28
2020-11-22,917,626,96,26
2020-11-23,849,598,73,28
2020-11-24,848,633,72,33
2020-11-25,846,647,75,35
2020-11-26,844,639,74,35
2020-11-27,845,656,73,32
2020-11-28,839,644,77,38
2020-11-29,838,621,78,37
2020-11-30,839,631,82,39
2020-12-01,844,639,85,37
2020-12-02,825,654,87,35
2020-12-03,823,652,88,35
2020-12-04,825,652,89,38
2020-12-05,812,631,89,43
2020-12-06,811,598,91,42
2020-12-07,811,612,89,39
2020-12-08,813,653,90,41
2020-12-09,804,644,90,41
2020-12-10,802,659,101,44
2020-12-11,803,636,106,52
2020-12-12,802,620,102,53
2020-12-13,787,605,111,52
2020-12-14,798,617,114,54
2020-12-15,796,633,120,51
2020-12-16,788,652,120,52
2020-12-17,791,645,122,55
2020-12-18,788,636,122,52
2020-12-19,782,615,133,62
2020-12-20,773,604,146,68
2020-12-21,783,607,148,74
2020-12-22,787,616,155,77
2020-12-23,790,620,173,88
2020-12-24,800,619,183,96
2020-12-25,788,607,186,99
2020-12-26,787,611,198,100
2020-12-27,786,624,202,99
2020-12-28,783,632,205,108
2020-12-29,790,638,211,110
2020-12-30,788,640,211,107
2020-12-31,781,631,215,113
2021-01-01,775,634,207,119
2021-01-02,784,632,216,120
2021-01-03,784,648,220,128
2021-01-04,780,640,219,123
2021-01-05,777,644,202,118
2021-01-06,787,660,204,116
2021-01-07,791,662,204,123
2021-01-08,785,665,208,115
2021-01-09,783,670,204,113
2021-01-10,778,649,202,114
2021-01-11,776,648,204,112
2021-01-12,785,677,209,117
2021-01-13,785,673,196,105
2021-01-14,790,672,198,112
2021-01-15,791,668,193,117
2021-01-16,799,667,190,114
2021-01-17,798,643,178,109
2021-01-18,795,659,185,110
2021-01-19,801,687,186,112
2021-01-20,802,668,178,103
2021-01-21,810,677,171,101
2021-01-22,810,680,175,103
2021-01-23,814,675,178,98
2021-01-24,803,645,183,106
2021-01-25,808,681,181,104
2021-01-26,815,693,174,97
2021-01-27,808,695,173,98
2021-01-28,802,685,173,100
2021-01-29,800,678,174,95
2021-01-30,801,673,167,92
2021-01-31,796,650,171,88
2021-02-01,795,655,171,84
2021-02-02,801,662,168,86
2021-02-03,803,684,180,90
2021-02-04,804,701,178,92
2021-02-05,797,684,177,95
2021-02-06,798,667,158,82
2021-02-07,785,646,148,85
2021-02-08,783,654,158,87
2021-02-09,779,651,157,86
2021-02-10,786,682,159,85
2021-02-11,782,673,152,80
2021-02-12,776,656,140,79
2021-02-13,771,651,136,74
2021-02-14,766,644,130,66
2021-02-15,762,652,130,66
2021-02-16,765,660,117,60
2021-02-17,774,664,129,68
2021-02-18,773,666,126,69
2021-02-19,769,657,129,68
2021-02-20,764,642,127,69
2021-02-21,759,634,128,74
2021-02-22,767,647,136,76
2021-02-23,768,672,135,77
2021-02-24,767,658,132,69
2021-02-25,776,668,131,69
2021-02-26,780,684,131,69
2021-02-27,771,652,128,72
2021-02-28,766,648,135,81
2021-03-01,758,653,139,76
2021-03-02,774,681,141,77
2021-03-03,775,669,134,74
2021-03-04,781,664,138,76
2021-03-05,777,656,135,78
2021-03-06,775,660,135,71
2021-03-07,767,635,135,71
2021-03-08,759,640,135,68
2021-03-09,771,652,130,65
2021-03-10,777,661,118,67
2021-03-11,774,653,116,65
2021-03-12,774,653,113,69
2021-03-13,775,650,119,65
2021-03-14,766,643,126,68
2021-03-15,767,634,130,70
2021-03-16,767,651,127,71
2021-03-17,764,656,142,76
2021-03-18,773,668,141,77
2021-03-19,771,659,144,78
2021-03-20,770,648,151,83
2021-03-21,769,646,153,88
2021-03-22,770,652,152,91
2021-03-23,772,677,158,93
2021-03-24,770,686,168,96
2021-03-25,774,675,175,101
2021-03-26,774,663,170,105
2021-03-27,762,644,172,110
2021-03-28,758,628,173,107
2021-03-29,765,640,173,104
2021-03-30,769,661,166,99
2021-03-31,765,671,181,94
2021-04-01,754,640,176,96
2021-04-02,754,642,187,109
2021-04-03,749,622,186,108
2021-04-04,745,612,186,117
2021-04-05,740,608,196,125
2021-04-06,750,628,206,126
2021-04-07,754,658,205,128
2021-04-08,755,662,213,132
2021-04-09,758,655,223,128
2021-04-10,755,651,225,133
2021-04-11,748,636,232,135
2021-04-12,754,652,236,131
2021-04-13,761,668,226,133
2021-04-14,762,690,232,133
2021-04-15,764,670,222,128
2021-04-16,769,672,218,120
2021-04-17,773,659,219,120
2021-04-18,759,634,214,121
2021-04-19,766,644,219,118
2021-04-20,765,666,217,117
2021-04-21,769,664,217,112
2021-04-22,775,675,211,118
2021-04-23,777,684,216,117
2021-04-24,776,679,214,110
2021-04-25,772,666,215,106
2021-04-26,767,665,221,109
2021-04-27,773,658,209,99
2021-04-28,773,659,206,99
2021-04-29,776,681,203,110
2021-04-30,773,680,190,111
2021-05-01,766,660,180,109
2021-05-02,767,660,191,111
2021-05-03,768,660,193,113
2021-05-04,766,673,191,116
2021-05-05,769,669,189,111
2021-05-06,758,650,182,110
2021-05-07,760,652,172,100
2021-05-08,761,635,169,104
2021-05-09,757,640,171,100
2021-05-10,757,635,172,101
2021-05-11,751,636,171,102
2021-05-12,759,651,165,103
2021-05-13,738,626,163,101
2021-05-14,734,612,163,105
2021-05-15,738,626,166,103
2021-05-16,745,609,158,95
2021-05-17,731,589,156,93
2021-05-18,746,623,154,81
2021-05-19,749,639,141,85
2021-05-20,745,634,136,84
2021-05-21,742,631,133,83
2021-05-22,736,615,130,76
2021-05-23,730,605,133,80
2021-05-24,722,593,134,75
2021-05-25,724,590,130,76
2021-05-26,727,608,123,72
2021-05-27,731,610,116,69
2021-05-28,719,580,107,67
2021-05-29,723,581,102,69
2021-05-30,715,565,96,66
2021-05-31,709,556,94,60
2021-06-01,711,576,84,57
2021-06-02,722,581,74,56
2021-06-03,719,597,74,52
2021-06-04,721,584,72,52
2021-06-05,712,565,66,50
2021-06-06,709,533,61,43
2021-06-07,706,540,60,41
2021-06-08,711,565,55,40
2021-06-09,714,588,50,34
2021-06-10,720,576,50,35
2021-06-11,725,577,50,33
2021-06-12,721,576,49,36
2021-06-13,717,580,47,34
2021-06-14,710,558,42,29
2021-06-15,724,594,40,27
2021-06-16,727,600,38,23
2021-06-17,727,594,32,21
2021-06-18,728,597,34,20
2021-06-19,729,586,31,19
2021-06-20,730,563,31,22
2021-06-21,725,569,27,20
2021-06-22,738,611,26,21
2021-06-23,736,604,25,20
2021-06-24,734,593,22,18
2021-06-25,729,601,19,15
2021-06-26,727,590,19,16
2021-06-27,722,582,18,14
2021-06-28,719,569,18,13
2021-06-29,725,576,17,10
2021-06-30,722,584,16,12
2021-07-01,719,590,15,12
2021-07-02,715,595,17,12
2021-07-03,716,583,17,12
2021-07-04,713,579,17,12
2021-07-05,714,563,15,12
2021-07-06,718,559,16,12
2021-07-07,719,568,15,11
2021-07-08,720,576,16,11
2021-07-09,717,575,15,12
2021-07-10,714,554,14,11
2021-07-11,711,558,13,11
2021-07-12,721,546,14,12
2021-07-13,721,567,15,12
2021-07-14,722,597,13,12
2021-07-15,722,581,12,11
2021-07-16,724,589,13,12
2021-07-17,718,584,12,11
2021-07-18,714,561,12,11
2021-07-19,722,565,12,11
2021-07-20,724,597,10,10
2021-07-21,726,604,10,10
2021-07-22,724,604,10,10
2021-07-23,722,614,10,10
2021-07-24,726,589,11,10
2021-07-25,724,581,12,10
2021-07-26,727,571,12,10
2021-07-27,731,590,12,10
2021-07-28,732,610,13,9
2021-07-29,733,596,11,9
2021-07-30,728,578,11,9
2021-07-31,728,592,11,10
2021-08-01,718,567,11,10
2021-08-02,718,563,11,10
