Date,betten_ges,betten_belegt,faelle_covid_aktuell,faelle_covid_aktuell_beatmet
2020-04-24,1098,650,30,21
2020-04-25,1096,664,27,18
2020-04-26,1084,659,26,17
2020-04-27,1107,694,25,17
2020-04-28,1097,686,25,15
2020-04-29,1091,703,23,13
2020-04-30,1098,684,17,12
2020-05-01,1114,669,16,12
2020-05-02,1108,644,17,11
2020-05-03,1108,633,17,11
2020-05-04,1114,683,18,12
2020-05-05,1118,697,20,9
2020-05-06,1107,694,20,9
2020-05-07,1102,696,20,9
2020-05-08,1120,742,18,9
2020-05-09,1101,698,19,9
2020-05-10,1094,683,19,9
2020-05-11,1060,694,19,8
2020-05-12,1101,724,13,8
2020-05-13,1024,666,15,9
2020-05-14,1038,670,16,7
2020-05-15,1021,698,14,7
2020-05-16,1009,681,14,6
2020-05-17,1011,657,13,6
2020-05-18,1016,650,13,6
2020-05-19,1022,672,12,6
2020-05-20,1020,685,9,5
2020-05-21,1019,698,11,6
2020-05-22,1058,685,11,6
2020-05-23,1045,659,8,6
2020-05-24,1045,656,7,5
2020-05-25,1054,656,6,5
2020-05-26,1040,673,5,5
2020-05-27,1067,683,4,4
2020-05-28,1071,686,4,4
2020-05-29,1077,693,6,6
2020-05-30,1073,673,7,6
2020-05-31,1077,676,7,6
2020-06-01,1082,664,9,6
2020-06-02,1085,662,10,6
2020-06-03,1072,689,8,6
2020-06-04,1078,697,8,6
2020-06-05,1087,725,9,7
2020-06-06,1071,688,8,7
2020-06-07,1084,669,9,7
2020-06-08,1069,676,9,6
2020-06-09,1075,721,8,4
2020-06-10,1080,711,6,3
2020-06-11,1084,716,7,4
2020-06-12,1079,731,6,4
2020-06-13,1078,701,7,4
2020-06-14,1075,688,6,4
2020-06-15,1083,670,6,4
2020-06-16,1084,687,6,4
2020-06-17,1078,680,6,4
2020-06-18,1080,684,6,4
2020-06-19,1078,693,6,4
2020-06-20,1071,687,5,4
2020-06-21,1084,680,4,3
2020-06-22,1090,685,5,3
2020-06-23,1078,707,4,3
2020-06-24,1087,691,4,3
2020-06-25,1086,703,4,3
2020-06-26,1081,730,4,3
2020-06-27,1068,693,4,3
2020-06-28,1080,694,4,3
2020-06-29,1072,683,3,2
2020-06-30,1094,700,3,2
2020-07-01,1093,721,3,2
2020-07-02,1073,714,3,2
2020-07-03,1067,717,3,2
2020-07-04,1075,695,3,2
2020-07-05,1076,681,3,2
2020-07-06,1091,715,3,1
2020-07-07,1090,725,3,1
2020-07-08,1089,725,3,1
2020-07-09,1103,733,3,1
2020-07-10,1098,729,3,1
2020-07-11,1097,704,2,1
2020-07-12,1100,692,2,0
2020-07-13,1096,715,2,1
2020-07-14,1095,706,2,1
2020-07-15,1094,727,1,1
2020-07-16,1086,722,1,1
2020-07-17,1087,698,1,1
2020-07-18,1081,694,1,1
2020-07-19,1081,681,1,1
2020-07-20,1091,684,1,1
2020-07-21,1083,681,1,1
2020-07-22,1081,711,1,1
2020-07-23,1092,698,1,1
2020-07-24,1091,701,2,2
2020-07-25,1096,718,3,3
2020-07-26,1088,689,3,3
